Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_20_931.jpg;0;0;1;0;99.66999;85.58897;0.0002350549;56.82556;6.412748E-07
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_20_967.jpg;0;0;0;0;99.66999;85.58897;0.0002356468;56.82556;1.494586E-07
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_21_019.jpg;0;0;0;0;99.66999;85.58897;0.0002361213;56.82556;-3.216894E-07
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_21_072.jpg;0;0;0;0;99.66999;85.58897;0.0002361517;56.82556;-4.239687E-07
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_21_130.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_21_185.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_21_241.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_21_290.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_21_339.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_21_381.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_21_428.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_21_478.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_21_533.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_21_581.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_21_637.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_21_687.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_21_742.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_21_790.jpg;-0.86706;0;0;0;99.66999;85.58897;0.0002369581;56.77354;-2.43283E-07
